33,47,220,49,220,68,33,67
33,62,219,65,218,94,32,91
33,93,219,93,219,119,33,119
34,121,217,117,218,136,34,140
29,130,215,138,214,161,28,153
54,152,94,151,94,160,54,160
133,153,166,153,166,160,133,160
46,157,195,156,195,176,46,177
67,176,178,175,178,193,67,194
70,195,88,195,88,203,70,203
87,193,176,200,174,220,86,212
110,215,202,218,202,232,110,229
100,228,220,231,220,246,100,243
122,246,221,246,221,259,122,259
119,260,221,256,221,272,120,275
120,274,217,272,217,288,121,290
121,287,223,286,223,301,121,303
133,301,218,301,218,316,133,316
33,316,222,314,223,346,33,348
34,343,217,342,218,360,34,361
34,361,222,358,222,372,35,376
35,372,221,371,221,385,35,387
186,393,226,393,226,400,186,400
